 maxtemp,dewp,meanrh,meantemp,mintemp,rain
32.0142857143,17.4,49.8571428571,29.1714285714,23.5857142857,0.0
30.6571428571,17.9428571429,56.5714285714,27.6142857143,23.0857142857,0.0857142857143
30.5285714286,15.1428571429,49.0,27.4142857143,21.9571428571,0.0
32.8428571429,17.6857142857,49.2857142857,29.6857142857,23.0,0.0
31.2142857143,15.9571428571,48.2857142857,28.1714285714,23.6428571429,0.0
32.5857142857,21.1714285714,62.1428571429,29.7857142857,25.5,0.0
32.2571428571,23.4714285714,70.8571428571,29.5428571429,25.9571428571,0.457142857143
32.8,24.0714285714,71.2857142857,30.0,25.6,0.871428571429
32.3857142857,24.3,72.8571428571,29.8857142857,25.3571428571,9.9
33.1857142857,23.1714285714,65.8571428571,30.6285714286,27.0142857143,0.0
29.3285714286,21.1142857143,72.7142857143,26.6714285714,23.3285714286,11.1285714286
32.3285714286,22.4,68.5714285714,29.1142857143,24.1,8.5
27.8571428571,17.3285714286,61.4285714286,25.4857142857,22.6428571429,0.0571428571429
33.4428571429,23.9428571429,68.4285714286,30.7,26.4857142857,0.371428571429
32.9571428571,24.2142857143,72.0,30.0857142857,26.1,2.24285714286
34.5285714286,24.3571428571,67.0,31.5142857143,26.2571428571,0.0285714285714
33.7142857143,24.7857142857,73.4285714286,30.3285714286,25.9857142857,16.7714285714
34.2714285714,25.0571428571,69.7142857143,31.5428571429,27.2142857143,14.2142857143
33.6857142857,24.7285714286,71.7142857143,30.6285714286,26.9285714286,5.91428571429
32.9142857143,25.0,77.4285714286,29.6285714286,25.9285714286,9.12857142857
35.3285714286,24.0428571429,64.4285714286,31.9714285714,26.8714285714,8.82857142857
33.4714285714,24.4857142857,69.8571428571,30.9,27.1857142857,7.97142857143
32.8857142857,25.4428571429,77.7142857143,29.9428571429,25.5571428571,18.7142857143
32.2571428571,24.1,72.4285714286,29.7428571429,25.9857142857,2.35714285714
33.5142857143,24.0714285714,66.7142857143,31.0857142857,27.8,0.414285714286
32.8142857143,24.4857142857,71.1428571429,30.5285714286,27.4428571429,26.9142857143
34.4714285714,23.6714285714,65.8571428571,31.2142857143,26.2571428571,1.04285714286
34.2714285714,24.2857142857,69.5714285714,30.8857142857,25.7857142857,9.77142857143
32.2142857143,24.4285714286,74.4285714286,29.6142857143,26.2428571429,6.34285714286
33.0571428571,23.7142857143,70.1428571429,30.0714285714,25.9857142857,9.44285714286
32.1285714286,24.2571428571,73.7142857143,29.7285714286,26.5285714286,12.2142857143
32.9857142857,23.9714285714,70.5714285714,30.1,26.3142857143,6.47142857143
32.4428571429,24.0428571429,74.2857142857,29.3,25.3857142857,11.0142857143
34.1428571429,23.3,65.7142857143,30.8571428571,26.2857142857,10.4714285714
32.5,24.4428571429,75.5714285714,29.4571428571,26.0285714286,18.7285714286
33.0,24.3428571429,72.4285714286,30.0285714286,25.8714285714,16.5857142857
