 maxtemp,dewp,meanrh,meantemp,mintemp,rain
31.8571428571,18.9571428571,62.1428571429,27.1857142857,22.1714285714,0.0
30.8714285714,18.9142857143,65.8571428571,26.0571428571,21.6571428571,0.285714285714
30.6428571429,16.9857142857,63.4285714286,24.9571428571,19.5,0.0
32.8714285714,19.2142857143,59.2857142857,28.2428571429,23.4142857143,0.0
31.2714285714,17.7857142857,60.4285714286,26.4428571429,21.4571428571,0.0
33.4714285714,22.6714285714,74.0,28.2142857143,24.1285714286,0.0
32.3285714286,23.8428571429,77.5714285714,28.3571428571,25.7428571429,2.04285714286
32.8714285714,24.2142857143,78.0,28.5857142857,25.9285714286,2.2
32.5571428571,24.4857142857,79.8571428571,28.5,25.4571428571,6.24285714286
33.8857142857,24.2857142857,75.5714285714,29.4714285714,26.0142857143,0.0
30.0571428571,21.3714285714,76.8571428571,26.0,22.9857142857,8.11428571429
32.4714285714,23.2,76.2857142857,28.0285714286,23.9714285714,4.98571428571
27.6571428571,17.7,66.4285714286,24.5142857143,22.3142857143,0.0857142857143
33.6142857143,24.3,76.5714285714,29.1,25.6857142857,0.0
32.9714285714,24.6571428571,79.2857142857,28.8,25.6571428571,0.8
34.6571428571,24.9428571429,75.0,30.1285714286,26.7428571429,0.0
33.7285714286,24.9142857143,80.5714285714,28.8285714286,25.7428571429,10.9571428571
34.8142857143,25.4285714286,75.5714285714,30.5285714286,26.8285714286,14.1285714286
34.0142857143,24.9571428571,75.8571428571,29.8428571429,26.3571428571,3.3
33.1142857143,25.3428571429,82.1428571429,28.9571428571,25.3714285714,8.54285714286
34.7,24.7571428571,75.2857142857,29.9285714286,26.2428571429,9.15714285714
34.3285714286,25.4,77.2857142857,30.0,26.6142857143,11.9714285714
33.1142857143,25.5285714286,83.2857142857,28.8857142857,25.2428571429,27.7571428571
32.2714285714,24.6428571429,79.1428571429,28.8,26.1,2.75714285714
33.7142857143,24.5428571429,74.7142857143,29.6285714286,26.8857142857,1.34285714286
32.8428571429,25.1285714286,79.4285714286,29.2428571429,26.9428571429,23.7571428571
34.2285714286,24.4571428571,76.2857142857,29.4142857143,25.2571428571,2.08571428571
33.8,24.7,76.7142857143,29.4,26.3428571429,5.7
32.4571428571,24.9285714286,83.1428571429,28.3285714286,25.7142857143,9.02857142857
33.7571428571,24.7,79.7142857143,28.8285714286,25.4571428571,8.27142857143
32.2857142857,24.7,79.2857142857,28.8285714286,26.0571428571,12.2571428571
32.9714285714,24.4142857143,79.5714285714,28.5428571429,25.8857142857,9.57142857143
32.5285714286,24.4142857143,81.0,28.2571428571,25.1285714286,10.2714285714
34.6571428571,24.2714285714,76.0,29.3,25.8714285714,18.2142857143
32.7428571429,24.5714285714,80.5714285714,28.4714285714,25.3714285714,15.0142857143
33.1857142857,24.6857142857,80.7142857143,28.5428571429,25.5857142857,17.5857142857
32.0142857143,24.7428571429,82.7142857143,28.1428571429,25.7285714286,6.72857142857
32.3571428571,24.1285714286,77.7142857143,28.5571428571,26.0142857143,5.94285714286
33.1428571429,24.2,78.1428571429,28.6,25.4142857143,6.08571428571
32.7,23.9714285714,78.4285714286,28.3,25.0571428571,8.5
31.3714285714,24.7285714286,86.7142857143,27.2,24.5142857143,17.6714285714
32.2857142857,24.0857142857,80.7142857143,27.9428571429,24.9428571429,8.42857142857
33.7285714286,24.1571428571,74.4285714286,29.5142857143,25.8,0.9
33.7857142857,22.6428571429,67.5714285714,29.6285714286,25.5142857143,0.0
33.4857142857,22.3,67.7142857143,29.3142857143,25.6857142857,0.0
33.8285714286,21.0571428571,62.4285714286,29.3428571429,25.3142857143,0.0
33.2428571429,20.6428571429,60.5714285714,29.3857142857,25.3285714286,0.0
33.7,21.6,66.1428571429,29.0714285714,24.7857142857,0.0
31.8571428571,19.9428571429,63.8571428571,27.6857142857,23.8142857143,0.0
30.4857142857,17.5142857143,61.0,25.8285714286,21.4571428571,0.0
31.5285714286,18.6142857143,61.8571428571,26.8285714286,22.7,0.0
30.5714285714,17.1,59.8571428571,25.7571428571,21.1285714286,0.0
32.8428571429,21.9428571429,70.2857142857,28.2,24.6428571429,0.128571428571
31.8857142857,18.7142857143,60.8571428571,27.1428571429,22.7285714286,0.0
33.3857142857,23.8285714286,77.0,28.5,25.2571428571,1.15714285714
32.8571428571,23.6571428571,77.1428571429,28.3,24.6857142857,0.1
32.1857142857,23.5857142857,78.5714285714,27.9,24.3857142857,2.9
33.1285714286,24.5,78.1428571429,28.8142857143,25.4428571429,0.0
33.4,24.7428571429,78.7142857143,29.0,25.6428571429,0.0
34.1714285714,22.6857142857,70.4285714286,29.0,24.5714285714,0.0
34.5,24.8714285714,74.0,30.1714285714,27.0428571429,0.0
34.7,24.1714285714,72.1428571429,30.1142857143,26.9285714286,0.0142857142857
