455201_ maxtemp,455201_dewp,455201_meanrh,455201_meantemp,455201_mintemp,455201_rain,455203_ maxtemp,455203_dewp,455203_meanrh,455203_meantemp,455203_mintemp,455203_rain,455301_ maxtemp,455301_dewp,455301_meanrh,455301_meantemp,455301_mintemp,455301_rain,week,year,total_cases_adj,trend,diff
-3.3714285715,12.2857142857,34.2857142857,8.2571428571,0.3428571429,0,3.3857142857,23.4571428571,38.8571428572,-1.2285714285,-4.6428571429,0,9.4428571429,11.5571428571,57.4285714286,-1.0285714286,4.2428571429,0,17,57,37.8333333333,86,-48.1666666667
-3.3714285715,12.2857142857,34.2857142857,8.2571428571,0.3428571429,0,3.3857142857,23.8714285714,38.0000000001,-1.2285714285,-4.6428571429,0,9.4428571429,11.5571428571,57.4285714286,-1.0285714286,4.2428571429,0,18,57,40,64,-24
-3.3714285715,12.2857142857,34.2857142857,8.2571428571,0.3428571429,0,3.3857142857,23.8714285714,36.7142857144,-1.2285714285,-4.6428571429,0,9.4428571429,11.5571428571,57.4285714286,-0.9857142857,4.2428571429,0,19,57,34.6666666667,71,-36.3333333333
-3.3714285715,12.2857142857,34.2857142857,8.8,0.3428571429,0,3.3857142857,23.8714285714,32.8571428573,-1.2285714285,-4.6428571429,0,9.4428571429,11.5571428571,57.4285714286,-0.9857142857,4.2428571429,0,20,57,38.1666666667,80,-41.8333333333
-3.3714285715,12.2857142857,34.2857142857,8.8,0.3428571429,0,3.3857142857,24.0428571429,40.2857142859,-1.2285714285,-4.6428571429,0,9.4428571429,11.5571428571,57.4285714286,-0.9857142857,4.2428571429,0,21,57,42.3333333333,106,-63.6666666667
-3.3714285715,12.2857142857,34.2857142857,8.8,0.3428571429,0,3.3857142857,24.0857142857,47.0000000001,-1.3857142857,-4.6428571429,0,9.4428571429,11.5571428571,57.4285714286,-1.0285714286,4.2428571429,0,22,57,41.3333333333,89,-47.6666666667
-3.3714285715,12.2857142857,34.2857142857,8.8,0.4714285714,0,3.3857142857,24.1,36.5714285716,-1.3857142857,-4.6428571429,0,9.4428571429,11.5571428571,57.4285714286,-1.0285714286,4.2428571429,0,23,57,48.3333333333,93,-44.6666666667
-3.3714285715,12.2857142857,34.2857142857,8.8,0.4714285714,0,3.3857142857,24.1,34.5714285716,-1.3857142857,-4.6428571429,0,9.4428571429,11.5571428571,57.4285714286,-1.0285714286,4.2428571429,0,24,57,41.3333333333,116,-74.6666666667
-3.3714285715,12.2857142857,34.2857142857,8.8,0.4714285714,0,3.3857142857,24.1,39.0000000001,-1.3857142857,-4.6428571429,0,9.4428571429,11.5571428571,57.4285714286,-1.0285714286,4.2428571429,0,25,57,48.3333333333,126,-77.6666666667
-3.3714285715,12.2857142857,34.2857142857,8.8,0.3428571429,0,3.3857142857,24.1,32.142857143,-1.3857142857,-4.6428571429,0,9.4428571429,11.5571428571,57.4285714286,-1.0285714286,4.2428571429,0,26,57,41.3333333333,136,-94.6666666667
-3.3714285715,12.2857142857,34.2857142857,8.8,0.3428571429,0,3.3857142857,24.1,41.2857142858,-1.3857142857,-4.6428571429,0,9.4428571429,11.5571428571,57.4285714286,-1.1571428572,4.2428571429,0,27,57,56,150,-94
-3.3714285715,12.2857142857,34.2857142857,8.8,0.4714285714,0,3.3857142857,24.1,25.7142857144,-1.3857142857,-4.6428571429,0,9.4428571429,11.5571428571,57.4285714286,-1.1571428572,4.2428571429,0,28,57,66.6666666667,161,-94.3333333333
-3.3714285715,12.2857142857,34.2857142857,8.8,0.3428571429,0,3.3857142857,24.1,14.2857142859,-1.3857142857,-4.6428571429,0,9.4428571429,11.5571428571,57.4285714286,-1.1571428572,4.2428571429,0,29,57,84,176,-92
-3.3714285715,12.2857142857,34.2857142857,8.8,0.3428571429,0,3.3857142857,24.1,22.0000000002,-1.3857142857,-4.6428571429,0,9.4428571429,11.5571428571,57.4285714286,-1.1571428572,4.2428571429,0,30,57,89.6666666667,214,-124.333333333
-3.3714285715,12.2857142857,34.2857142857,8.8,0.3428571429,0,3.3857142857,24.1,15.0000000002,-1.2285714285,-4.6428571429,0,9.4428571429,11.5571428571,57.4285714286,-1.1571428572,4.2428571429,0,31,57,81.3333333333,244,-162.666666667
-3.3714285715,12.2857142857,34.2857142857,8.8,0.4714285714,0,3.3857142857,24.1,0.2857142859,-1.2285714285,-4.6428571429,0,9.4428571429,11.5571428571,57.4285714286,-1.1571428572,4.2428571429,0,32,57,78.3333333333,244,-165.666666667
-3.3714285715,12.2857142857,32.8571428572,8.8,0.3428571429,0,3.3857142857,24.1857142857,12.2857142859,-1.3857142857,-4.6428571429,0,9.4428571429,11.5571428571,57.4285714286,-1.1571428572,4.2428571429,0,33,57,77.6666666667,224,-146.333333333
-3.3714285715,12.2857142857,32.5714285714,8.8,0.3428571429,0,3.3857142857,24.1857142857,34.1428571431,-1.3857142857,-4.6428571429,0,9.4428571429,11.5571428571,57.4285714286,-1.1571428572,4.2428571429,0,34,57,114.666666667,232,-117.333333333
-3.3714285715,12.2857142857,32.5714285714,8.8,0.3142857143,0,3.3857142857,24.1857142857,45.5714285717,-1.3857142857,-4.6428571429,0,9.4428571429,11.5571428571,57.4285714286,-1.1571428572,4.2428571429,0,35,57,143.333333333,239,-95.6666666667
-3.3714285715,12.2857142857,32,8.8,0.3428571429,0,3.3857142857,24.1857142857,30.1428571432,-1.2285714285,-4.6428571429,0,9.4428571429,11.5571428571,57.4285714286,-1.1571428572,4.2428571429,0,36,57,173,242,-69
-3.3714285715,12.2857142857,32,9.6571428571,0.4714285714,0,3.3857142857,24.1857142857,25.7142857146,-1.2285714285,-4.6428571429,0,9.4428571429,11.5571428571,57.4285714286,-1.1571428572,4.2428571429,0,37,57,164.166666667,234,-69.8333333333
-3.3714285715,12.2857142857,32,9.6571428571,0.4714285714,0,3.3857142857,24.3428571429,29.285714286,-1.3857142857,-4.6428571429,0,9.4428571429,11.5571428571,57.4285714286,-1.1571428572,4.2428571429,0,38,57,155.333333333,237,-81.6666666667
-3.3714285715,12.2857142857,32,9.6571428571,0.4714285714,0,3.3857142857,24.3428571429,24.0000000003,-1.2285714285,-4.6428571429,0,9.4428571429,11.5571428571,57.4285714286,-1.1571428572,4.2428571429,0,39,57,162.666666667,224,-61.3333333333
-3.3714285715,12.2857142857,32,9.6571428571,0.3428571429,0,3.3857142857,24.3428571429,30.285714286,-1.2285714285,-4.6428571429,0,9.4428571429,11.5571428571,57.4285714286,-1.1571428572,4.2428571429,0,40,57,142.833333333,181,-38.1666666667
-3.3714285715,12.2857142857,32,9.6571428571,0.4857142857,0,3.3857142857,24.3428571429,17.7142857146,-1.2285714285,-4.6428571429,0,9.4428571429,11.5571428571,57.4285714286,-1.1571428572,4.2428571429,0,41,57,151.333333333,185,-33.6666666667
